"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 06 02:39:58 UTC 2023","Sun Aug 06 02:40:20 UTC 2023","22037","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Aug 06 02:51:33 UTC 2023","Sun Aug 06 02:51:34 UTC 2023","1603","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Aug 06 03:14:26 UTC 2023","Sun Aug 06 03:14:27 UTC 2023","676","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Aug 06 02:29:09 UTC 2023","Sun Aug 06 02:29:11 UTC 2023","1916","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 06 03:26:46 UTC 2023","Sun Aug 06 03:27:32 UTC 2023","46820","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Aug 06 03:30:12 UTC 2023","Sun Aug 06 03:30:16 UTC 2023","3424","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sun Aug 06 02:37:06 UTC 2023","Sun Aug 06 02:37:10 UTC 2023","3679","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 06 02:46:20 UTC 2023","Sun Aug 06 02:46:23 UTC 2023","2939","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sun Aug 06 03:30:02 UTC 2023","Sun Aug 06 03:30:06 UTC 2023","3178","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Aug 06 04:49:10 UTC 2023","Sun Aug 06 04:49:15 UTC 2023","4257","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Aug 06 02:21:35 UTC 2023","Sun Aug 06 02:21:43 UTC 2023","7774","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Aug 06 03:08:26 UTC 2023","Sun Aug 06 03:08:26 UTC 2023","763","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sun Aug 06 02:54:58 UTC 2023","Sun Aug 06 02:55:00 UTC 2023","2630","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Aug 06 02:40:21 UTC 2023","Sun Aug 06 02:40:32 UTC 2023","11561","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Aug 06 02:52:05 UTC 2023","Sun Aug 06 02:52:05 UTC 2023","771","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Aug 06 02:51:03 UTC 2023","Sun Aug 06 02:51:08 UTC 2023","5209","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Aug 06 02:55:46 UTC 2023","Sun Aug 06 02:55:48 UTC 2023","2079","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 06 03:55:35 UTC 2023","Sun Aug 06 03:55:48 UTC 2023","12884","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Aug 06 02:50:36 UTC 2023","Sun Aug 06 02:50:39 UTC 2023","2526","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 06 02:40:32 UTC 2023","Sun Aug 06 02:40:36 UTC 2023","3996","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Aug 06 03:42:31 UTC 2023","Sun Aug 06 03:42:47 UTC 2023","15577","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sun Aug 06 03:08:14 UTC 2023","Sun Aug 06 03:08:26 UTC 2023","11323","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
